SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
RET,CF,DI,17,7501198355581,Dr Pepper Cream soda 600ml NR,Refrescos,1,94.4,8.9
RET,CF,DI,17,7501055337729,Coca Cola Light 125L NRP,Refrescos,1,103.8,8.5
RET,CF,DI,18,7501055326785,Coca Cola SA 125 L NR,Refrescos,4,0.0,34.0
RET,CF,DI,18,744886375059,Refresco Jarritos 2Lt NR Mandarina,Refrescos,1,34.5,8.5
RET,CF,DI,18,7501055305636,Sprite Lima limon 1L NR,Refrescos,1,43.5,8.5
RET,CF,DI,18,7501055302840,Fanta Naranja 1L NR,Refrescos,1,52.5,8.5
RET,CF,DI,18,7501055302819,Fresca Toronja 1L NR,Refrescos,1,61.5,8.5
RET,CF,DI,18,7501277412389,Agua purificada Taxco 1 lt bote,Refrescos,1,70.5,8.4
RET,CF,DI,18,7501055371730,Refresco Sprite 1.35 Lt,Refrescos,1,79.4,8.4
RET,CF,DI,18,7501055371655,Coca-Cola 1.35 Lts,Refrescos,1,88.3,8.4
RET,CF,DI,18,7501055305346,Refresco CocaCola 1 lt botella No Retornable cola light,Refrescos,1,97.2,8.4
RET,CF,DI,18,7501055374755,Coca Cola sin Azucar 1.35 Lts,Refrescos,1,106.1,8.4
RET,CF,DI,19,7501055371723,Sidral Mundet 1.35 Lt,Refrescos,4,0.0,33.6
RET,CF,DI,19,7501031312672,Refresco sabor cola Pepsi 1lt NR Light,Refrescos,1,34.1,8.3
RET,CF,DI,19,7501022013069,Pepsi Black 1.5lts,Refrescos,1,42.9,8.3
RET,CF,DI,19,7501071120190,Squirt Toronja 1L NR,Refrescos,1,51.7,8.3
RET,CF,DI,19,7501031311682,Refresco Pepsi 1.5 L NR:Regular,Refrescos,1,60.5,8.3
RET,CF,DI,19,7501022008584,Refresco Pepsi Light 15L NR,Refrescos,1,69.3,8.3
RET,CF,DI,19,7501073833739,Schwepes Ginger Ale 1Lt NR,Refrescos,1,78.1,8.3
RET,CF,DI,19,7501022014080,Seven up Lima limon 1.5L NR,Refrescos,1,86.9,8.3
RET,CF,DI,19,7503029481490,SANGRIA SE?ORIAL SIN AZUCAR 355ML,Refrescos,1,95.7,8.1
RET,CF,DI,19,7501073841031,Penafiel Limonada 1lt NR,Refrescos,1,104.3,8.0
RET,CF,DI,20,7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,Refrescos,5,0.0,40.0
RET,CF,DI,20,7501073841024,Penafiel Naranjada 1lt NR,Refrescos,1,40.5,8.0
RET,CF,DI,20,7501073839212,Penafiel Twist Limon 1 lt NR,Refrescos,1,49.0,8.0
RET,CF,DI,20,7501073830028,Penafiel Mineral 1 lt NR,Refrescos,1,57.5,8.0
