SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
BCO,CF,DI,16,7501055353217,JOYA 1.75L UVA,Refrescos,56.6,9.4
BCO,CF,DI,16,7501055328925,Victoria Manzana15lts,Refrescos,66.0,9.3
BCO,CF,DI,16,7501055388240,VICTORIA Manzana-Durazno 1.5L PNR,Refrescos,75.3,9.3
BCO,CF,DI,16,7501055303540,Refresco Coca-Cola 1.5 lt botella No Retornable:cola:regular,Refrescos,84.6,9.2
BCO,CF,DI,17,7501055368785,Refresco CocaCola 15 lt botella retornable cola,Refrescos,0.0,9.2
BCO,CF,DI,17,7501055300952,Refresco CocaCola 1 1/4 lt botella Retornable,Refrescos,9.2,9.1
BCO,CF,DI,17,606110023863,Red Cola 1.5 Lt,Refrescos,18.3,9.1
BCO,CF,DI,17,7501022015292,Refresco Mirinda 1.5 L NR: naranja,Refrescos,27.4,9.0
BCO,CF,DI,17,7501055371747,Fresca Toronja 1.35L NR,Refrescos,36.4,9.0
BCO,CF,DI,17,7501055371754,Fanta Naranja 1.35L NR,Refrescos,45.4,9.0
BCO,CF,DI,17,7501022015384,Manzanita Sol PET 1.5 Lts,Refrescos,54.4,9.0
BCO,CF,DI,17,7501071120176,Squirt Toronja 1.5L NR,Refrescos,63.4,9.0
BCO,CF,DI,17,21136414646,Topo Chico Sangria 2L NR,Refrescos,72.4,9.0
BCO,CF,DI,17,7501198355581,Dr Pepper Cream soda 600ml NR,Refrescos,81.4,8.9
BCO,CF,DI,18,744886375059,Refresco Jarritos 2Lt NR Mandarina,Refrescos,0.0,8.5
BCO,CF,DI,18,7501055305636,Sprite Lima limon 1L NR,Refrescos,8.5,8.5
BCO,CF,DI,18,7501055320646,Coca Cola SA 1 L NR,Refrescos,17.0,8.5
BCO,CF,DI,18,7501055302819,Fresca Toronja 1L NR,Refrescos,25.5,8.5
BCO,CF,DI,18,7501055326785,Coca Cola SA 125 L NR,Refrescos,34.0,8.5
BCO,CF,DI,18,7501055337729,Coca Cola Light 125L NRP,Refrescos,42.5,8.5
BCO,CF,DI,18,7501055371655,Coca-Cola 1.35 Lts,Refrescos,51.0,8.4
BCO,CF,DI,18,7501277412389,Agua purificada Taxco 1 lt bote,Refrescos,59.4,8.4
BCO,CF,DI,18,7501055371723,Sidral Mundet 1.35 Lt,Refrescos,67.8,8.4
BCO,CF,DI,18,7501055305346,Refresco CocaCola 1 lt botella No Retornable cola light,Refrescos,76.2,8.4
BCO,CF,DI,19,7501055371730,Refresco Sprite 1.35 Lt,Refrescos,0.0,8.4
BCO,CF,DI,19,7501055374755,Coca Cola sin Azucar 1.35 Lts,Refrescos,8.4,8.4
BCO,CF,DI,19,7501031311682,Refresco Pepsi 1.5 L NR:Regular,Refrescos,16.8,8.3
BCO,CF,DI,19,7501031312672,Refresco sabor cola Pepsi 1lt NR Light,Refrescos,25.1,8.3
BCO,CF,DI,19,7501022008584,Refresco Pepsi Light 15L NR,Refrescos,33.4,8.3
BCO,CF,DI,19,7501022013069,Pepsi Black 1.5lts,Refrescos,41.7,8.3
BCO,CF,DI,19,7501022014080,Seven up Lima limon 1.5L NR,Refrescos,50.0,8.3
BCO,CF,DI,19,7501071120190,Squirt Toronja 1L NR,Refrescos,58.3,8.3
BCO,CF,DI,19,7501073833739,Schwepes Ginger Ale 1Lt NR,Refrescos,66.6,8.3
BCO,CF,DI,19,7503029481490,SANGRIA SE?ORIAL SIN AZUCAR 355ML,Refrescos,74.9,8.1
BCO,CF,DI,20,7501073841024,Penafiel Naranjada 1lt NR,Refrescos,0.0,8.0
BCO,CF,DI,20,7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,Refrescos,8.0,8.0
BCO,CF,DI,20,7501073839212,Penafiel Twist Limon 1 lt NR,Refrescos,16.0,8.0
BCO,CF,DI,20,7501073830028,Penafiel Mineral 1 lt NR,Refrescos,24.0,8.0
BCO,CF,DI,20,7501022015858,7Up Citrus 600 Ml NR,Refrescos,32.0,7.8
BCO,CF,DI,20,21136110180,Topo Chico Twist Limon 600ml NR,Refrescos,39.8,7.6
BCO,CF,DI,20,21136016185,Topo Chico Twist Toronja 600ml NR NR,Refrescos,47.4,7.6
BCO,CF,DI,20,7501055368679,CC SA 235ML PET NR,Refrescos,55.0,7.5
BCO,CF,DI,20,7501055301256,Refresco Coca Cola 710 ml botella no retornable:regular:cola,Refrescos,62.5,7.5
BCO,CF,DI,20,7500326103452,Barrilitos Pi?a 750ml NR,Refrescos,70.0,7.2
BCO,CF,DI,21,7501055379484,DEL VALLE FIZZ 600ML NARANJA,Refrescos,0.0,7.2
BCO,CF,DI,21,7501055379521,DEL VALLE FIZZ 600ML LIMON,Refrescos,7.2,7.2
BCO,CF,DI,21,7500326103445,Barrilitos Durazno 750ml NR,Refrescos,14.4,7.2
BCO,CF,DI,21,7500326103469,Barrilitos Ponche 750ml NR,Refrescos,21.6,7.2
BCO,CF,DI,21,7500326103476,Barrilitos Manzana 750ml NR,Refrescos,28.8,7.2
BCO,CF,DI,21,7501055359769,Mundet Sangria 600ml NR,Refrescos,36.0,7.1
BCO,CF,DI,21,7501055386321,Cherry Coke 600ml PNR,Refrescos,43.1,7.1
BCO,CF,DI,21,7501055304653,Delaware Punch Uva 600ml NR,Refrescos,50.2,7.1
BCO,CF,DI,21,7501055366316,Sprite Lima limon SA 600ml NR,Refrescos,57.3,7.1
BCO,CF,DI,21,7501055305230,Fanta Fresa 600ml NR,Refrescos,64.4,7.1
BCO,CF,DI,22,7501055327959,Escuis Fresa 600ml NR,Refrescos,0.0,7.1
BCO,CF,DI,22,7501055328031,Escuis Manzana 600ml NR,Refrescos,7.1,7.1
BCO,CF,DI,22,7501055328154,Escuis Hierro 600ml NR,Refrescos,14.2,7.1
BCO,CF,DI,22,7501055303779,Fanta Naranja 600ml NR,Refrescos,21.3,7.1
BCO,CF,DI,22,7501055328796,Victoria Grosella 600ml NR,Refrescos,28.4,7.1
BCO,CF,DI,22,7501055303786,Fresca Toronja 600ml NR,Refrescos,35.5,7.1
