SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
HOG,CF,ID,9,7501073839885,PENAFIEL LIMONADA 600 ML NR,Refrescos,13.4,6.7
HOG,CF,ID,9,7501073839854,PENAFIEL NARANJADA 600 ML NR,Refrescos,20.1,6.7
HOG,CF,ID,9,7501022014585,7 UP 600 ML,Refrescos,26.8,6.7
HOG,CF,ID,9,7501073831933,PENAFIEL SANGRIA 600 ML NR,Refrescos,33.5,6.7
HOG,CF,ID,9,7501073842670,PENAFIEL MANGADA 600ML NR,Refrescos,40.2,6.7
HOG,CF,ID,9,7501022009277,REFRESCO PEPSI 473ML LATA,Refrescos,46.9,6.7
HOG,CF,ID,9,7501071120183,REFRESCO SQUIRT 600 ML BOTELLA NO RETORNABLE TORONJA,Refrescos,53.6,6.7
HOG,CF,ID,9,792313000661,JAROCHITO FRESA 600ML NR,Refrescos,60.3,6.7
HOG,CF,ID,10,7501031310012,REFRESCO PEPSI 600 ML BOTELLA NO RETORNABLE COLA,Refrescos,0.0,6.7
HOG,CF,ID,10,7501073833722,SCHWEPPES GINGER ALE 600 ML NR,Refrescos,6.7,6.6
HOG,CF,ID,10,792313000418,REFRESCO ZARAZA VARGAS LATA 355ML,Refrescos,13.3,6.6
HOG,CF,ID,10,7501198350418,DR PEPPER 600 ML NR,Refrescos,19.9,6.6
HOG,CF,ID,10,7501031311620,REFRESCO PEPSI 500 ML BOTELLA NO RETORNABLE COLA,Refrescos,26.5,6.5
HOG,CF,ID,10,7501055356256,COCA COLA SIN AZUCAR CHUBBY 355ML PET,Refrescos,33.0,6.5
HOG,CF,ID,10,7501055339082,COCA COLA CHUBBY LIGHT  355 ML PET NR,Refrescos,39.5,6.5
HOG,CF,ID,10,7501055368662,COCA-COLA SIN AZUCAR 450ML PET NR,Refrescos,46.0,6.5
HOG,CF,ID,10,7501022014257,PEPSI KICK 500 ML,Refrescos,52.5,6.0
HOG,CF,ID,10,7501022013885,7UP 400ML NR,Refrescos,58.5,6.0
HOG,CF,ID,11,7501198355536,DR PEPPER 355ML LATA,Refrescos,0.0,6.0
HOG,CF,ID,11,7501022013021,PEPSI BLACK 355 ML LATA,Refrescos,6.0,6.0
HOG,CF,ID,11,7501073844193,PENAFIEL PINADA 400ML,Refrescos,12.0,6.0
HOG,CF,ID,11,7501031302819,REFRESCO DE SABOR 400 ML BOTE NO RETORNABLE:MIRINDA,Refrescos,18.0,5.8
HOG,CF,ID,11,7501031302741,REFRESCO DE COLA PEPSI 400 ML BOTE  NO RETORNABLE,Refrescos,23.8,5.8
HOG,CF,ID,11,7501031302802,MANZANITA SOL 400 ML BOTELLA,Refrescos,29.6,5.8
HOG,CF,ID,11,7501055305391,REFRESCO COCA-COLA 355 ML LATA LIGHT,Refrescos,35.4,5.8
HOG,CF,ID,11,7501071120664,SQUIRT 400ML NR,Refrescos,41.2,5.8
HOG,CF,ID,11,7501055361557,COCA-COLA SIN AZUCAR LATA 355 ML NR (SLEEK CAN),Refrescos,47.0,5.8
HOG,CF,ID,11,7501055361540,COCA-COLA ORIGINAL LATA 355 ML NR (SLEEK CAN),Refrescos,52.8,5.8
HOG,CF,ID,12,7501055365395,Coca-Cola Light lata 355 ML NR (Sleek Can),Refrescos,0.0,5.7
HOG,CF,ID,12,7501055366170,SPRITE 235ML VNR,Refrescos,5.7,5.64
HOG,CF,ID,12,7501055354689,COCA-COLA 235ML VNR LIGHT,Refrescos,11.34,5.5
